City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
421,Castanheira De Pera,PT,40.0072,-8.2105,46.69,95,0,2.66,clear sky
422,Rudbar,AF,30.15,62.6,54.77,43,100,2.48,overcast clouds
423,Kloulklubed,PW,7.0419,134.2556,82.9,77,98,8.97,overcast clouds
424,Flinders,AU,-34.5833,150.8552,83.17,64,0,7.0,clear sky
425,Lagoa,PT,39.05,-27.9833,60.8,95,90,17.6,overcast clouds
426,Kondopoga,RU,62.2057,34.2614,20.88,94,100,8.75,overcast clouds
427,Cabo San Lucas,MX,22.8909,-109.9124,72.18,60,0,3.13,clear sky
428,Klyuchi,RU,52.2667,79.1667,3.18,91,72,7.56,broken clouds
429,Lumeje,AO,-11.55,20.7833,63.79,96,100,3.13,light rain
430,Shaunavon,CA,49.6501,-108.4181,35.38,94,100,9.53,light rain
431,Ust-Tsilma,RU,65.441,52.1498,-2.02,98,96,4.09,overcast clouds
432,Algiers,DZ,36.7525,3.042,42.62,100,20,1.14,few clouds
433,Hofn,IS,64.2539,-15.2082,23.0,69,99,9.35,overcast clouds
434,Unjha,IN,23.8,72.4,56.91,25,5,4.9,clear sky
435,Labytnangi,RU,66.6572,66.4183,-8.75,97,14,3.24,few clouds
436,Korla,CN,41.7597,86.1469,12.29,66,6,1.9,clear sky
437,Moussoro,TD,13.6408,16.4901,64.44,29,0,15.59,clear sky
438,Artyom,AZ,40.4723,50.333,39.34,79,10,13.44,clear sky
439,Tupik,RU,54.4253,119.9327,-15.99,97,85,2.42,overcast clouds
440,Lavumisa,SZ,-27.31,31.892,70.38,92,81,3.06,broken clouds
441,Darhan,MN,49.4867,105.9228,-16.29,93,5,5.35,clear sky
442,Kikwit,CD,-5.041,18.8162,70.14,97,100,1.34,overcast clouds
443,Ahuimanu,US,21.4447,-157.8378,81.75,60,40,11.5,scattered clouds
444,Goderich,CA,43.7501,-81.7165,27.91,74,100,17.27,overcast clouds
445,Kaniama,CD,-7.5667,24.1833,65.88,95,100,1.12,overcast clouds
446,Bubaque,GW,11.2833,-15.8333,77.5,70,70,14.81,light rain
447,La Sarre,CA,48.8002,-79.1996,7.54,97,98,7.45,overcast clouds
448,Karoi,ZW,-16.8099,29.6925,61.57,64,0,7.65,clear sky
449,Iqaluit,CA,63.7506,-68.5145,8.33,66,40,5.75,scattered clouds
450,Baglung,NP,28.2719,83.5898,45.03,30,0,5.48,clear sky
451,Yatou,CN,37.15,122.3833,29.57,65,36,8.93,scattered clouds
452,Visalia,US,36.3302,-119.2921,55.96,96,100,9.22,moderate rain
453,Caetite,BR,-14.0694,-42.475,65.5,94,95,7.47,overcast clouds
454,Ostrovnoy,RU,68.0531,39.5131,18.1,86,97,20.22,overcast clouds
455,Hasaki,JP,35.7333,140.8333,43.29,49,100,4.59,overcast clouds
456,Kanigiri,IN,15.4,79.5167,70.95,92,27,2.42,scattered clouds
457,Kangaatsiaq,GL,68.3065,-53.4641,5.18,75,29,10.76,scattered clouds
458,Jumla,NP,29.2747,82.1838,33.58,29,4,4.21,clear sky
459,Hamilton,US,39.1834,-84.5333,32.99,85,100,3.0,overcast clouds
460,Bafra,TR,41.5678,35.9069,54.82,62,100,7.56,overcast clouds
461,Abu Dhabi,AE,24.4667,54.3667,69.82,89,0,1.14,light rain
462,Banda Aceh,ID,5.5577,95.3222,78.76,82,96,8.77,overcast clouds
463,Roald,NO,62.5833,6.1333,33.94,80,12,16.11,few clouds
464,Katsuura,JP,35.1333,140.3,52.21,59,100,7.31,overcast clouds
465,Bodden Town,KY,19.2833,-81.25,75.99,86,20,10.36,few clouds
466,Nevers,FR,46.9167,3.3333,38.46,96,99,4.76,overcast clouds
467,Boda,CF,4.3189,17.4695,69.69,33,90,4.21,overcast clouds
468,Krasnoyarskiy,RU,51.965,59.8967,11.37,95,100,10.98,overcast clouds
